param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
phi_recover,1.0,0.8,1.2,0.02986199365780435,0.07798465964288226,0.00434255741453877,0.04812266598507791,-0.02551943624326558,0.04812266598507791
sigma,0.2,0.16000000000000003,0.24,0.02986199365780435,0.06648700022353857,0.008846835366929902,0.03662500656573422,-0.02101515829087445,0.03662500656573422
contact_rate,10.0,8.0,12.0,0.02986199365780435,0.006481547343078323,0.054643437574685164,-0.023380446314726026,0.024781443916880815,0.024781443916880815
transmission_probability_low,0.025,0.020000000000000004,0.03,0.02986199365780435,0.006481547343046996,0.05464343757468508,-0.02338044631475735,0.02478144391688073,0.02478144391688073
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.02986199365780435,0.012844669581466451,0.04640373045824797,-0.017017324076337898,0.016541736800443622,0.017017324076337898
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.02986199365780435,0.018175119784257367,0.04238257935966151,-0.011686873873546982,0.012520585701857163,0.012520585701857163
drug_contact_multiplier,1.2,0.96,1.44,0.02986199365780435,0.03166952077914395,0.0269150703698723,0.0018075271213396013,-0.0029469232879320503,0.0029469232879320503
drug_contact_restore,0.8,0.6400000000000001,0.96,0.02986199365780435,0.02717274677006371,0.0325582490694639,-0.0026892468877406407,0.0026962554116595483,0.0026962554116595483
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.02986199365780435,0.027729261460942005,0.03152756433966109,-0.002132732196862344,0.0016655706818567428,0.002132732196862344
delta,0.008333333333333333,0.006666666666666667,0.01,0.02986199365780435,0.028851012406898975,0.030875748794723372,-0.001010981250905374,0.0010137551369190229,0.0010137551369190229
kappa_base,1.0,0.8,1.2,0.02986199365780435,0.030864032322807905,0.02886632739322577,0.001002038665003556,-0.0009956662645785805,0.001002038665003556
theta,0.3,0.24,0.36,0.02986199365780435,0.03086403232280747,0.028866327393225977,0.0010020386650031222,-0.0009956662645783723,0.0010020386650031222
kappa_scale,1.0,0.8,1.2,0.02986199365780435,0.03028288985335148,0.029443680588200134,0.00042089619554713104,-0.00041831306960421477,0.00042089619554713104
birth_rate,0.0,0.0,0.0,0.02986199365780435,0.02986199365780435,0.02986199365780435,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.02986199365780435,0.02986199365780435,0.02986199365780435,0.0,0.0,0.0
