param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
phi_recover,1.0,0.8,1.2,0.03237854742282403,0.07946874204663461,0.009397545226587676,0.047090194623810575,-0.022981002196236357,0.047090194623810575
sigma,0.2,0.16000000000000003,0.24,0.03237854742282403,0.07683307721167518,0.009108992377236344,0.044454529788851144,-0.02326955504558769,0.044454529788851144
transmission_probability_low,0.025,0.020000000000000004,0.03,0.03237854742282403,0.006595264923933351,0.06254059791996484,-0.025783282498890683,0.03016205049714081,0.03016205049714081
contact_rate,10.0,8.0,12.0,0.03237854742282403,0.006595264923966642,0.06254059791996475,-0.02578328249885739,0.030162050497140713,0.030162050497140713
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.03237854742282403,0.017272991239736593,0.048128786265294876,-0.01510555618308744,0.015750238842470843,0.015750238842470843
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.03237854742282403,0.01985604245538091,0.04572247342684681,-0.012522504967443122,0.013343926004022774,0.013343926004022774
restoration_efficiency,0.8,0.6400000000000001,0.96,0.03237854742282403,0.02987989604153999,0.03490700645125291,-0.0024986513812840436,0.002528459028428874,0.002528459028428874
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.03237854742282403,0.030047542056185,0.03419119108183184,-0.002331005366639032,0.0018126436590078093,0.002331005366639032
delta,0.008333333333333333,0.006666666666666667,0.01,0.03237854742282403,0.03133494448005265,0.03341915053027839,-0.0010436029427713864,0.001040603107454359,0.0010436029427713864
theta,0.3,0.24,0.36,0.03237854742282403,0.03337981347719418,0.031380105736039124,0.001001266054370148,-0.0009984416867849094,0.001001266054370148
kappa_base,1.0,0.8,1.2,0.03237854742282403,0.03337981347719412,0.031380105736039124,0.0010012660543700855,-0.0009984416867849094,0.0010012660543700855
kappa_scale,1.0,0.8,1.2,0.03237854742282403,0.032769404054396815,0.03198866979943951,0.0003908566315727821,-0.00038987762338452137,0.0003908566315727821
birth_rate,0.0,0.0,0.0,0.03237854742282403,0.03237854742282403,0.03237854742282403,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.03237854742282403,0.03237854742282403,0.03237854742282403,0.0,0.0,0.0
