param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.00705077348941186,0.02775319133454559,0.0004995004995004995,0.020702417845133728,-0.00655127298991136,0.020702417845133728
contact_rate,10.0,8.0,12.0,0.00705077348941186,0.0004995004995004995,0.021670655974574696,-0.00655127298991136,0.014619882485162836,0.014619882485162836
transmission_probability_low,0.025,0.020000000000000004,0.03,0.00705077348941186,0.0004995004995004995,0.021670655974574675,-0.00655127298991136,0.014619882485162815,0.014619882485162815
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.00705077348941186,0.001975695931837195,0.014860197786081384,-0.005075077557574664,0.007809424296669525,0.007809424296669525
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.00705077348941186,0.004089542041145018,0.013072681067202501,-0.002961231448266842,0.006021907577790642,0.006021907577790642
restoration_efficiency,0.5,0.4,0.6,0.00705077348941186,0.005511135053890103,0.008755618954289907,-0.001539638435521757,0.0017048454648780475,0.0017048454648780475
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.00705077348941186,0.006443327214072545,0.007525224195270059,-0.0006074462753393149,0.00047445070585819954,0.0006074462753393149
kappa_scale,1.0,0.8,1.2,0.00705077348941186,0.007232898892868735,0.006871149274435267,0.00018212540345687554,-0.0001796242149765927,0.00018212540345687554
kappa_base,1.0,0.8,1.2,0.00705077348941186,0.007080159183034533,0.006987545365338547,2.9385693622673015e-05,-6.322812407331263e-05,6.322812407331263e-05
theta,0.3,0.24,0.36,0.00705077348941186,0.007080159183034472,0.006987545365338639,2.93856936226123e-05,-6.322812407322069e-05,6.322812407322069e-05
