param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.0024829641385742058,0.014236443893742052,0.0004995004995004995,0.011753479755167846,-0.0019834636390737063,0.011753479755167846
contact_rate,10.0,8.0,12.0,0.0024829641385742058,0.0004995004995004995,0.010641491906487867,-0.0019834636390737063,0.008158527767913662,0.008158527767913662
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0024829641385742058,0.0004995004995004995,0.01064149190648783,-0.0019834636390737063,0.008158527767913624,0.008158527767913624
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0024829641385742058,0.0015914425935734178,0.003287216359937936,-0.0008915215450007879,0.0008042522213637304,0.0008915215450007879
kappa_base,1.0,0.8,1.2,0.0024829641385742058,0.003134378138873915,0.0019442632542272104,0.0006514140002997094,-0.0005387008843469954,0.0006514140002997094
theta,0.3,0.24,0.36,0.0024829641385742058,0.0031343781388738744,0.0019442632542272216,0.0006514140002996686,-0.0005387008843469841,0.0006514140002996686
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.0024829641385742058,0.0030515771253859197,0.001892464438133768,0.000568612986811714,-0.0005904997004404378,0.0005904997004404378
restoration_efficiency,0.5,0.4,0.6,0.0024829641385742058,0.002736572616298294,0.0022672291757263865,0.00025360847772408837,-0.00021573496284781925,0.00025360847772408837
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0024829641385742058,0.0022717735128311924,0.002646425447370585,-0.00021119062574301338,0.00016346130879637925,0.00021119062574301338
kappa_scale,1.0,0.8,1.2,0.0024829641385742058,0.0024572156855575305,0.002509185410123547,-2.5748453016675305e-05,2.6221271549341056e-05,2.6221271549341056e-05
