param,base,low,high,peak_high_low_perturb,peak_low_low_perturb,peak_high_high_perturb,peak_low_high_perturb,relative_gap_low_perturb,relative_gap_high_perturb,max_abs_relative_gap
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.003315889171444583,0.003113145499684082,0.006481851339242391,0.0022128220731541305,0.06512502283657322,1.9292239163193259,1.9292239163193259
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0009824128291577362,0.001758666661851241,0.009853964537830141,0.003543557367338874,-0.4413876998591591,1.7808113475612308,1.7808113475612308
restoration_efficiency,0.5,0.4,0.6,0.0034738188438718028,0.002918541026442525,0.004838049922252846,0.0025662368239572656,0.19025869857519814,0.885270243606095,0.885270243606095
kappa_scale,1.0,0.8,1.2,0.004436357073321026,0.0026567086130409173,0.0038231408819694745,0.002814947007517319,0.6698696468044684,0.35815731939527545,0.6698696468044684
sigma,0.2,0.16000000000000003,0.24,0.022620232447080613,0.01381512951489191,0.0004995004995004995,0.0004995004995004995,0.6373521813673417,0.0,0.6373521813673417
kappa_base,1.0,0.8,1.2,0.004747067108158604,0.003287848919442493,0.003529484029892961,0.0022321721003243115,0.44382154547525404,0.5811881303328554,0.5811881303328554
theta,0.3,0.24,0.36,0.004747067108160126,0.0032878489194423308,0.00352948402989298,0.002232172100324329,0.443821545475788,0.5811881303328515,0.5811881303328515
contact_rate,10.0,8.0,12.0,0.0004995004995004995,0.0004995004995004995,0.016779257151851315,0.010679427154119705,0.0,0.571175767173854,0.571175767173854
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0004995004995004995,0.0004995004995004995,0.0167792571518512,0.010679427154119656,0.0,0.5711757671738503,0.5711757671738503
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0037094810464566087,0.0025258120852739924,0.0044539037753203135,0.0028925822457902257,0.4686290670963416,0.5397673762958293,0.5397673762958293
