param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
phi_recover,1.0,0.8,1.2,0.03465143147016702,0.08266752451945508,0.01248654420709962,0.04801609304928806,-0.022164887263067402,0.04801609304928806
sigma,0.2,0.16000000000000003,0.24,0.03465143147016702,0.08015231025382066,0.010533970985001296,0.045500878783653644,-0.024117460485165724,0.045500878783653644
contact_rate_high,8.0,6.4,9.6,0.03465143147016702,0.012493789741655353,0.06804972321340702,-0.022157641728511666,0.03339829174324,0.03339829174324
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.03465143147016702,0.012562255927405213,0.06619185292045068,-0.022089175542761807,0.031540421450283664,0.031540421450283664
transmission_probability_low,0.025,0.020000000000000004,0.03,0.03465143147016702,0.007955513301011893,0.06548347851828143,-0.026695918169155126,0.03083204704811441,0.03083204704811441
drug_contact_multiplier,1.2,0.96,1.44,0.03465143147016702,0.021972463370624085,0.04802583466137176,-0.012678968099542935,0.01337440319120474,0.01337440319120474
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.03465143147016702,0.02197246337062403,0.048025834661371704,-0.01267896809954299,0.013374403191204684,0.013374403191204684
contact_rate,10.0,8.0,12.0,0.03465143147016702,0.03646904133812109,0.03856488628355159,0.0018176098679540675,0.003913454813384572,0.003913454813384572
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.03465143147016702,0.032126861036989744,0.03661188945183826,-0.0025245704331772756,0.001960457981671243,0.0025245704331772756
kappa_base,1.0,0.8,1.2,0.03465143147016702,0.03611152659831779,0.03319434242104401,0.0014600951281507693,-0.001457089049123013,0.0014600951281507693
theta,0.3,0.24,0.36,0.03465143147016702,0.03611152659831772,0.03319434242104387,0.0014600951281507,-0.0014570890491231517,0.0014600951281507
delta,0.008333333333333333,0.006666666666666667,0.01,0.03465143147016702,0.03359516691820268,0.03570566732992929,-0.0010562645519643366,0.001054235859762269,0.0010562645519643366
kappa_scale,1.0,0.8,1.2,0.03465143147016702,0.0351610732687745,0.0341418725834338,0.0005096417986074769,-0.0005095588867332218,0.0005096417986074769
birth_rate,0.0,0.0,0.0,0.03465143147016702,0.03465143147016702,0.03465143147016702,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.03465143147016702,0.03465143147016702,0.03465143147016702,0.0,0.0,0.0
