param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
phi_recover,1.0,0.8,1.2,0.03143226528874173,0.0789815885846108,0.0060194463932121715,0.04754932329586906,-0.02541281889552956,0.04754932329586906
sigma,0.2,0.16000000000000003,0.24,0.03143226528874173,0.0707792443711601,0.009085619907605064,0.03934697908241836,-0.02234664538113667,0.03934697908241836
transmission_probability_low,0.025,0.020000000000000004,0.03,0.03143226528874173,0.006591459362182686,0.05812632989088043,-0.024840805926559045,0.026694064602138697,0.026694064602138697
contact_rate,10.0,8.0,12.0,0.03143226528874173,0.0065914593622159925,0.05812632989088038,-0.02484080592652574,0.026694064602138648,0.026694064602138648
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.03143226528874173,0.015405838272021636,0.04745425283523666,-0.016026427016720097,0.016021987546494927,0.016026427016720097
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.03143226528874173,0.019257083934597068,0.04442861625602769,-0.012175181354144665,0.012996350967285956,0.012996350967285956
restoration_efficiency,0.8,0.6400000000000001,0.96,0.03143226528874173,0.02885853264825475,0.03402022445455469,-0.0025737326404869816,0.0025879591658129544,0.0025879591658129544
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.03143226528874173,0.02917942871335065,0.03318573306719548,-0.002252836575391083,0.0017534677784537475,0.002252836575391083
delta,0.008333333333333333,0.006666666666666667,0.01,0.03143226528874173,0.030389949311187617,0.03247182511561259,-0.001042315977554116,0.001039559826870859,0.001042315977554116
theta,0.3,0.24,0.36,0.03143226528874173,0.032206263761129714,0.030622305006422344,0.0007739984723879809,-0.0008099602823193885,0.0008099602823193885
kappa_base,1.0,0.8,1.2,0.03143226528874173,0.03220626376112972,0.030622305006422584,0.0007739984723879878,-0.0008099602823191492,0.0008099602823191492
kappa_scale,1.0,0.8,1.2,0.03143226528874173,0.031832395601778564,0.031030884116859572,0.0004001303130368311,-0.00040138117188216055,0.00040138117188216055
birth_rate,0.0,0.0,0.0,0.03143226528874173,0.03143226528874173,0.03143226528874173,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.03143226528874173,0.03143226528874173,0.03143226528874173,0.0,0.0,0.0
