param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.0013565300762096034,0.006762353068054023,0.0004995004995004995,0.005405822991844419,-0.0008570295767091039,0.005405822991844419
contact_rate,10.0,8.0,12.0,0.0013565300762096034,0.0004995004995004995,0.005037237593071448,-0.0008570295767091039,0.003680707516861844,0.003680707516861844
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0013565300762096034,0.0004995004995004995,0.005037237593071435,-0.0008570295767091039,0.003680707516861831,0.003680707516861831
phi_recover,1.0,0.8,1.2,0.0013565300762096034,0.0009175542044747435,0.0034018200992262807,-0.00043897587173485995,0.002045290023016677,0.002045290023016677
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.0013565300762096034,0.002218947139200629,0.001052106882783783,0.0008624170629910257,-0.00030442319342582035,0.0008624170629910257
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0013565300762096034,0.0009498893285973221,0.0017584147316912734,-0.0004066407476122813,0.00040188465548166995,0.0004066407476122813
theta,0.3,0.24,0.36,0.0013565300762096034,0.001601990652900104,0.001145052150726693,0.00024546057669050055,-0.00021147792548291042,0.00024546057669050055
kappa_base,1.0,0.8,1.2,0.0013565300762096034,0.0016019906529000968,0.0011450521507266982,0.0002454605766904934,-0.00021147792548290522,0.0002454605766904934
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0013565300762096034,0.001249565790275544,0.0014381218439451253,-0.00010696428593405939,8.159176773552186e-05,0.00010696428593405939
restoration_efficiency,0.8,0.6400000000000001,0.96,0.0013565300762096034,0.0014313586778762417,0.0012916996136101225,7.482860166663826e-05,-6.483046259948095e-05,7.482860166663826e-05
delta,0.008333333333333333,0.006666666666666667,0.01,0.0013565300762096034,0.0013428446331915102,0.001370011247156535,-1.3685443018093173e-05,1.3481170946931607e-05,1.3685443018093173e-05
kappa_scale,1.0,0.8,1.2,0.0013565300762096034,0.0013458987358853035,0.0013674955736341838,-1.063134032429987e-05,1.0965497424580408e-05,1.0965497424580408e-05
birth_rate,0.0,0.0,0.0,0.0013565300762096034,0.0013565300762096034,0.0013565300762096034,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.0013565300762096034,0.0013565300762096034,0.0013565300762096034,0.0,0.0,0.0
